127.0.0.1 - - [21/Oct/2024:09:09:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:17 +0530] "GET /Online-Exam-Management-Web-App/Home.jsp HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:17 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/CSS/homestyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:17 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/IMGS/bg3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:21 +0530] "GET /Online-Exam-Management-Web-App/login.jsp HTTP/1.1" 200 6092
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:21 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:21 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert-dev.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:09:21 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:10:46 +0530] "POST /Online-Exam-Management-Web-App/AddStudentServlet HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:10:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:10:47 +0530] "GET /Online-Exam-Management-Web-App/login.jsp HTTP/1.1" 200 6092
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:10:47 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert-dev.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:10:47 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:11:39 +0530] "POST /Online-Exam-Management-Web-App/LoginServlet HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:12:32 +0530] "POST /Online-Exam-Management-Web-App/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:12:32 +0530] "GET /Online-Exam-Management-Web-App/home2.jsp HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:12:35 +0530] "GET /Online-Exam-Management-Web-App/studentprofile.jsp HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:12:35 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/CSS/profilestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:12:35 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/Script/profile.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:13:23 +0530] "POST /Online-Exam-Management-Web-App/updateProfileServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:13:24 +0530] "GET /Online-Exam-Management-Web-App/login.jsp HTTP/1.1" 200 6092
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:13:24 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert-dev.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:13:24 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:23:51 +0530] "POST /Online-Exam-Management-Web-App/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:23:51 +0530] "GET /Online-Exam-Management-Web-App/home2.jsp HTTP/1.1" 200 7333
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:23:56 +0530] "GET /Online-Exam-Management-Web-App/studentprofile.jsp HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:26:28 +0530] "POST /Online-Exam-Management-Web-App/DeleteStudentServlet HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:26:29 +0530] "GET /Online-Exam-Management-Web-App/Home.jsp HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:27:10 +0530] "GET /Online-Exam-Management-Web-App/about.jsp HTTP/1.1" 200 8941
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:27:10 +0530] "GET /Online-Exam-Management-Web-App/about.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2024:09:27:12 +0530] "GET /Online-Exam-Management-Web-App/Home.jsp HTTP/1.1" 200 7402
